fir_id,crime_type,district,police_station,reported_at,latitude,longitude,status,offender_id,victim_gender,victim_age,weapon_used,crime_hour,crime_day,crime_month,crime_year,is_weekend,festival,season,income_category,population_density,crime_frequency,repeat_offender_count,time_since_last_crime,previous_crimes_nearby,distance_from_police_station,historical_hotspot_score,risk_score,risk_level,threat_level,confidence_score,trend_score,seasonal_pattern,risk_zone,patrol_recommendation,day_night_indicator,crime_forecast
FIR-2023-00001,Robbery,Hubballi Dharwad,Hubballi Dharwad Central,2023-01-31 07:14:00,12.476765,74.461228,Closed,OFF-1130,Male,26,Digital,7,31,1,2023,0,0,Winter,High,4500,9,2,743,13,4.09,58.93,79,High,Low,0.87,-0.68,Normal,Orange Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2023-00002,Traffic Offence,Other,Other Central,2023-10-25 08:09:00,13.007196,77.435724,Closed,OFF-1396,Female,59,Stick,8,25,10,2023,0,0,Monsoon,Low,12000,8,5,137,12,2.1,29.32,23,Low,Severe,0.8,0.72,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2020-00003,Burglary,Ballari,Ballari North,2020-10-11 01:42:00,13.095288,75.302246,Open,OFF-2556,Female,73,Unknown,1,11,10,2020,1,0,Monsoon,Low,8000,6,2,696,8,10.83,68.35,20,Low,Low,0.8,-0.66,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00004,Burglary,Belagavi,Belagavi Cyber Cell,2021-10-31 14:24:00,13.389635,78.16426,Under Investigation,OFF-3804,Female,22,Digital,14,31,10,2021,1,0,Monsoon,Medium,8000,5,1,226,10,3.98,49.92,98,High,Severe,0.72,-0.47,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2026-00005,Burglary,Bengaluru Urban,Bengaluru Urban South,2026-01-16 08:47:00,15.592102,78.040203,Under Investigation,OFF-1566,Unknown,78,Knife,8,16,1,2026,0,0,Winter,Low,4500,3,4,620,2,6.39,59.59,61,Medium,Moderate,0.76,0.94,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00006,Theft,Bengaluru Urban,Bengaluru Urban South,2021-04-14 21:56:00,15.258792,75.200713,Open,OFF-2202,Female,35,Firearm,21,14,4,2021,0,1,Summer,High,12000,5,5,790,5,8.11,10.64,92,High,Severe,0.65,0.28,Spike in Summer,Red Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2026-00007,Cyber Crime,Bengaluru Urban,Bengaluru Urban Central,2026-01-18 16:58:00,11.504003,75.458702,Solved,OFF-4599,Female,45,Knife,16,18,1,2026,1,0,Winter,High,4500,2,4,845,2,14.69,53.27,12,Low,Low,0.56,-0.05,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2022-00008,Cyber Crime,Other,Other North,2022-12-21 16:55:00,15.746157,78.339633,Solved,OFF-2634,Unknown,62,Firearm,16,21,12,2022,0,0,Winter,Medium,4500,4,2,75,10,1.29,55.39,79,High,Severe,0.61,-0.86,Normal,Orange Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2022-00009,Theft,Kalaburagi,Kalaburagi North,2022-07-26 02:57:00,11.719891,75.486928,Solved,OFF-3740,Female,42,Stick,2,26,7,2022,0,0,Monsoon,High,12000,8,2,813,15,12.3,19.04,75,Medium,Low,0.82,-0.29,Normal,Orange Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2025-00010,Traffic Offence,Shivamogga,Shivamogga Central,2025-03-27 23:03:00,16.213552,78.428743,Closed,OFF-3982,Female,28,Digital,23,27,3,2025,0,0,Summer,High,8000,3,4,197,8,7.48,87.45,22,Low,Low,0.72,0.72,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2020-00011,Financial Fraud,Bengaluru Urban,Bengaluru Urban Rural,2020-03-01 02:59:00,16.774959,75.063708,Closed,OFF-1875,Female,22,Digital,2,1,3,2020,1,0,Summer,Medium,8000,8,3,443,15,3.17,29.67,62,Medium,Low,0.78,0.08,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2020-00012,Drug Trafficking,Other,Other North,2020-08-22 01:37:00,14.83752,78.137242,Open,OFF-4935,Unknown,25,Digital,1,22,8,2020,1,0,Monsoon,Low,12000,4,4,132,7,9.1,3.97,77,High,Low,0.71,0.17,Normal,Orange Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2022-00013,Drug Trafficking,Other,Other North,2022-12-04 06:42:00,16.513343,75.074087,Solved,OFF-2872,Female,24,Knife,6,4,12,2022,1,0,Winter,High,4500,2,5,228,8,2.85,34.9,60,Medium,Low,0.93,-0.26,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2023-00014,Financial Fraud,Bengaluru Urban,Bengaluru Urban South,2023-05-24 19:51:00,16.077834,74.035204,Open,OFF-4845,Male,48,Knife,19,24,5,2023,0,0,Summer,High,12000,3,3,298,6,11.05,20.36,80,High,Severe,0.92,0.01,Spike in Summer,Orange Zone,Standard Patrol,Night,Likely to Reoccur
FIR-2020-00015,Robbery,Bengaluru Urban,Bengaluru Urban South,2020-07-27 02:40:00,14.46503,75.245061,Under Investigation,OFF-3609,Female,35,Unknown,2,27,7,2020,0,0,Monsoon,High,8000,9,1,124,2,14.23,69.1,10,Low,Low,0.77,0.67,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2023-00016,Cyber Crime,Bengaluru Urban,Bengaluru Urban South,2023-06-16 11:57:00,18.031616,78.374883,Under Investigation,OFF-3793,Male,28,Crowbar,11,16,6,2023,0,0,Summer,Medium,12000,3,2,895,5,14.67,81.08,15,Low,Moderate,0.51,0.47,Spike in Summer,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2024-00017,Drug Trafficking,Mysuru,Mysuru Central,2024-08-13 21:55:00,16.645403,75.116753,Closed,OFF-4572,Male,75,Digital,21,13,8,2024,0,0,Monsoon,Medium,8000,5,2,238,0,10.24,39.85,30,Low,Moderate,0.92,0.93,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2026-00018,Forest Theft,Chikkamagaluru,Chikkamagaluru Cyber Cell,2026-01-05 10:01:00,12.307392,78.366803,Solved,OFF-1156,Male,70,Crowbar,10,5,1,2026,0,0,Winter,Medium,8000,10,5,128,12,13.59,19.01,32,Low,Low,0.85,-1.0,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2020-00019,Coastal Smuggling,Dakshina Kannada,Dakshina Kannada South,2020-10-13 21:58:00,13.8114,75.41262,Solved,OFF-3731,Female,56,Firearm,21,13,10,2020,0,0,Monsoon,High,4500,4,4,690,12,10.48,90.28,25,Low,Severe,0.78,-0.19,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2024-00020,Theft,Mysuru,Mysuru North,2024-10-26 18:38:00,16.082939,76.092447,Closed,OFF-4251,Unknown,36,Unknown,18,26,10,2024,1,0,Monsoon,High,12000,10,3,105,7,10.42,22.46,66,Medium,Low,0.57,-0.91,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2026-00021,Property Dispute,Kalaburagi,Kalaburagi Rural,2026-11-08 02:29:00,14.401087,76.833944,Closed,OFF-2636,Male,33,Unknown,2,8,11,2026,1,0,Winter,Low,8000,4,2,833,14,1.7,24.92,34,Low,Low,0.72,0.6,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2024-00022,Drug Trafficking,Bengaluru Urban,Bengaluru Urban Rural,2024-12-17 19:52:00,16.534918,76.271502,Under Investigation,OFF-4046,Female,72,Crowbar,19,17,12,2024,0,0,Winter,High,8000,9,4,651,7,4.84,7.75,80,High,Moderate,0.61,-0.33,Normal,Orange Zone,Standard Patrol,Night,Likely to Reoccur
FIR-2024-00023,Theft,Mysuru,Mysuru South,2024-04-17 22:09:00,16.444934,74.28903,Closed,OFF-2703,Male,41,Firearm,22,17,4,2024,0,0,Summer,High,12000,1,5,399,15,1.08,35.18,62,Medium,Moderate,0.92,0.91,Spike in Summer,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2026-00024,Traffic Offence,Hubballi Dharwad,Hubballi Dharwad Rural,2026-02-14 19:57:00,13.043771,74.987397,Open,OFF-2592,Female,66,Unknown,19,14,2,2026,1,0,Winter,Medium,4500,10,5,37,12,9.29,66.3,65,Medium,Low,0.81,-0.73,Normal,Orange Zone,Standard Patrol,Night,Isolated Incident
FIR-2022-00025,Coastal Smuggling,Udupi,Udupi South,2022-12-01 12:20:00,12.981622,75.470806,Closed,OFF-2033,Male,75,Knife,12,1,12,2022,0,0,Winter,Low,8000,4,1,809,1,11.56,94.96,58,Medium,Low,0.91,0.24,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00026,Burglary,Other,Other South,2021-06-01 15:42:00,12.300726,78.264907,Solved,OFF-1687,Unknown,29,Digital,15,1,6,2021,0,0,Summer,Low,12000,1,3,599,12,6.55,71.5,69,Medium,Low,0.79,0.66,Spike in Summer,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2026-00027,Traffic Offence,Bengaluru Urban,Bengaluru Urban Cyber Cell,2026-09-25 03:50:00,18.38691,77.521859,Closed,OFF-3709,Female,23,Stick,3,25,9,2026,0,0,Monsoon,Low,8000,8,1,453,11,9.9,82.87,54,Medium,Severe,0.57,-0.65,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2026-00028,Robbery,Kodagu,Kodagu South,2026-01-13 15:29:00,14.549021,77.289618,Under Investigation,OFF-4402,Male,50,Firearm,15,13,1,2026,0,0,Winter,Medium,12000,10,4,354,0,7.92,32.5,44,Medium,Moderate,0.6,0.6,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2023-00029,Drug Trafficking,Belagavi,Belagavi North,2023-02-19 19:44:00,17.660751,76.50106,Open,OFF-1988,Unknown,67,Firearm,19,19,2,2023,1,0,Winter,Low,12000,8,4,468,0,2.3,22.16,76,High,Severe,0.62,0.33,Normal,Orange Zone,Standard Patrol,Night,Likely to Reoccur
FIR-2023-00030,Financial Fraud,Bengaluru Urban,Bengaluru Urban South,2023-11-09 13:47:00,15.352719,75.583147,Solved,OFF-2029,Male,30,Unknown,13,9,11,2023,0,0,Winter,Low,12000,9,2,206,6,11.34,27.65,68,Medium,Severe,0.98,0.05,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00031,Robbery,Kalaburagi,Kalaburagi Cyber Cell,2021-02-15 06:18:00,13.092382,74.807487,Under Investigation,OFF-2123,Male,21,Stick,6,15,2,2021,0,0,Winter,Low,12000,8,1,903,0,9.04,46.94,11,Low,Moderate,0.67,0.93,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
