CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,379,1,1
2,NDPS,21,1,1
3,IPC,420,1,1
4,NDPS,21,1,1
5,IPC,420,1,1
7,IPC,304A,1,1
8,IT,66C,1,1
9,IPC,304A,1,1
10,IPC,304A,1,1
11,NDPS,20,1,1
12,NDPS,20,1,1
13,IT,66C,1,1
14,IPC,302,1,1
15,IPC,307,1,1
17,IPC,420,1,1
18,IPC,307,1,1
21,IPC,420,1,1
22,IPC,379,1,1
24,IPC,379,1,1
25,IT,66C,1,1
26,IPC,420,1,1
27,IPC,279,1,1
28,IPC,279,1,1
30,IT,66C,1,1
31,IPC,307,1,1
32,IPC,302,1,1
33,NDPS,20,1,1
34,NDPS,21,1,1
35,IPC,379,1,1
36,IPC,307,1,1
37,NDPS,21,1,1
38,IPC,379,1,1
40,IT,66D,1,1
41,IT,66C,1,1
42,IPC,420,1,1
43,IT,66C,1,1
44,IT,66D,1,1
46,IPC,420,1,1
47,NDPS,21,1,1
48,IT,66C,1,1
49,IPC,302,1,1
50,IPC,279,1,1
51,IT,66D,1,1
52,IT,66D,1,1
53,NDPS,21,1,1
54,IPC,302,1,1
55,IT,66D,1,1
56,IPC,420,1,1
57,NDPS,21,1,1
58,IPC,379,1,1
59,IT,66D,1,1
60,IPC,302,1,1
61,NDPS,20,1,1
62,IT,66D,1,1
63,IPC,307,1,1
64,NDPS,20,1,1
65,IPC,379,1,1
66,IPC,304A,1,1
67,NDPS,20,1,1
68,IPC,279,1,1
69,IPC,302,1,1
70,IPC,420,1,1
71,IPC,307,1,1
72,IT,66C,1,1
73,IT,66C,1,1
74,IPC,379,1,1
76,IPC,304A,1,1
77,IPC,307,1,1
78,IPC,420,1,1
79,IT,66D,1,1
80,IT,66C,1,1
81,IPC,420,1,1
82,IT,66C,1,1
83,IPC,420,1,1
84,IPC,420,1,1
85,NDPS,21,1,1
87,NDPS,20,1,1
89,NDPS,20,1,1
90,IPC,304A,1,1
91,IPC,307,1,1
92,NDPS,21,1,1
93,IPC,279,1,1
94,IPC,379,1,1
95,IT,66C,1,1
96,NDPS,20,1,1
97,NDPS,20,1,1
98,NDPS,21,1,1
99,IT,66C,1,1
100,IT,66D,1,1
101,NDPS,20,1,1
102,IT,66C,1,1
103,IPC,379,1,1
104,IPC,420,1,1
106,IPC,379,1,1
107,IPC,379,1,1
108,NDPS,20,1,1
