CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2024-03-25,A,20
2,13,2022-12-13,A,308
3,15,2022-06-16,A,426
4,18,2025-11-12,A,488
5,24,2026-10-17,A,21
6,32,2023-08-30,A,472
7,34,2024-07-03,A,321
8,35,2026-07-20,A,80
9,36,2021-04-17,A,179
10,41,2026-02-18,A,36
11,42,2020-12-07,A,269
12,50,2026-06-21,A,278
13,55,2023-03-25,A,46
14,59,2021-10-21,A,100
15,60,2021-03-06,A,267
16,94,2022-06-05,A,411
17,96,2023-01-26,A,185
18,102,2024-12-06,A,111
19,103,2024-02-28,A,256
20,110,2020-05-15,A,372
21,134,2026-09-09,A,302
22,136,2026-11-24,A,291
23,138,2023-06-08,A,67
24,151,2021-02-27,A,127
25,156,2022-08-26,A,202
26,158,2025-10-31,A,284
27,159,2026-04-13,A,308
28,164,2026-04-22,A,253
29,182,2021-07-22,A,353
30,183,2026-12-30,A,452
31,186,2025-12-12,A,188
32,193,2022-03-24,A,49
33,196,2024-12-08,A,247
34,201,2026-06-14,A,190
35,206,2024-04-02,A,426
36,218,2021-10-28,A,372
37,220,2022-07-26,A,138
38,226,2026-03-19,A,423
39,233,2021-04-26,A,499
40,234,2026-07-30,A,151
41,238,2020-05-05,A,494
42,239,2023-06-18,A,449
43,255,2020-07-26,A,411
44,260,2020-05-22,A,426
45,262,2020-07-09,A,161
46,264,2024-08-11,A,257
47,267,2023-09-17,A,240
48,269,2024-06-24,A,454
49,272,2025-07-10,A,76
50,276,2021-08-07,A,80
51,281,2023-10-29,A,386
52,289,2021-05-15,A,387
53,291,2024-01-30,A,239
54,298,2026-11-02,A,470
55,300,2026-10-12,A,256
56,301,2025-03-07,A,370
57,304,2026-09-16,A,171
58,305,2024-03-08,A,410
59,314,2021-10-28,A,149
60,317,2026-03-15,A,30
61,327,2021-11-14,A,279
62,331,2025-02-02,A,15
63,334,2025-05-17,A,329
64,337,2026-11-02,A,190
65,341,2027-02-04,A,245
66,344,2027-01-22,A,22
67,347,2026-12-31,A,204
68,349,2023-06-07,A,463
69,358,2022-12-01,A,21
70,361,2022-03-27,A,362
71,364,2023-11-21,A,450
72,366,2021-12-02,A,306
73,386,2023-07-05,A,6
74,389,2026-12-15,A,307
75,397,2022-05-24,A,53
76,399,2021-11-06,A,174
77,416,2023-03-16,A,450
78,424,2024-06-22,A,58
79,429,2021-03-02,A,170
80,430,2021-09-20,A,482
81,452,2025-12-02,A,10
82,453,2021-01-28,A,384
83,455,2021-01-07,A,366
84,459,2021-08-17,A,117
85,461,2025-03-28,A,269
86,471,2026-12-19,A,381
87,488,2021-11-29,A,345
88,496,2021-04-11,A,139
89,499,2023-10-08,A,436
90,502,2025-08-12,A,132
91,503,2026-02-15,A,334
92,510,2024-08-08,A,219
93,513,2025-12-30,A,424
94,516,2026-10-04,A,12
95,522,2023-01-20,A,353
96,523,2026-09-01,A,430
97,528,2020-03-31,A,248
98,530,2022-12-20,A,418
99,542,2021-11-27,A,314
100,545,2024-08-26,A,186
101,549,2025-07-01,A,282
102,550,2026-09-10,A,104
103,553,2022-03-27,A,324
104,557,2022-11-21,A,86
105,560,2020-04-11,A,328
106,561,2020-04-15,A,244
107,563,2021-06-01,A,268
108,569,2020-08-08,A,63
109,571,2020-03-26,A,427
110,573,2027-01-05,A,203
111,589,2023-12-03,A,452
112,590,2024-02-03,A,107
113,605,2023-11-07,A,195
114,607,2024-11-28,A,73
115,611,2025-02-03,A,5
116,616,2025-10-30,A,384
117,618,2022-01-07,A,329
118,623,2027-01-14,A,368
119,630,2021-09-14,A,4
120,631,2023-01-12,A,421
121,634,2026-01-23,A,286
122,637,2022-05-15,A,195
123,638,2021-04-28,A,267
124,639,2020-04-02,A,236
125,642,2022-04-30,A,410
126,644,2020-08-23,A,23
127,650,2020-12-20,A,89
128,656,2023-07-01,A,222
129,664,2020-08-18,A,435
130,672,2024-11-10,A,23
131,676,2020-12-16,A,323
132,682,2021-04-22,A,58
133,684,2024-03-29,A,160
134,686,2025-04-21,A,223
135,689,2022-02-12,A,70
136,692,2023-02-24,A,120
137,695,2023-12-14,A,341
138,709,2023-03-22,A,67
139,710,2021-12-04,A,110
140,711,2024-07-17,A,450
141,719,2026-11-14,A,146
142,720,2021-11-19,A,276
143,727,2023-09-21,A,92
144,739,2026-10-21,A,196
145,743,2024-03-30,A,108
146,744,2023-03-10,A,411
147,745,2020-07-11,A,179
148,747,2025-10-14,A,459
149,750,2020-06-10,A,427
150,756,2021-08-12,A,103
151,759,2025-09-21,A,110
152,767,2026-01-09,A,257
153,770,2026-04-05,A,120
154,778,2021-04-21,A,235
155,781,2023-06-14,A,9
156,792,2023-12-10,A,495
157,797,2026-01-07,A,440
158,810,2026-08-23,A,414
159,815,2024-03-18,A,316
160,816,2026-06-05,A,185
161,818,2024-09-29,A,133
162,820,2026-02-23,A,115
163,824,2024-01-21,A,92
164,829,2021-06-16,A,483
165,831,2020-08-25,A,203
166,834,2023-03-03,A,308
167,839,2022-08-04,A,22
168,851,2022-07-18,A,320
169,852,2021-01-01,A,424
170,859,2024-09-30,A,348
171,862,2025-02-19,A,99
172,868,2025-04-24,A,426
173,873,2021-03-05,A,430
174,875,2026-06-20,A,79
175,876,2025-08-08,A,236
176,880,2020-03-07,A,96
177,885,2021-11-08,A,255
178,891,2023-08-21,A,2
179,892,2021-01-23,A,464
180,898,2026-02-16,A,407
181,906,2025-06-07,A,150
182,917,2022-06-08,A,278
183,926,2023-02-26,A,321
184,928,2022-06-02,A,50
185,932,2022-05-02,A,273
186,939,2025-05-26,A,286
187,942,2024-11-02,A,185
188,944,2027-02-22,A,332
189,945,2020-09-18,A,367
190,946,2023-12-21,A,329
191,956,2022-06-19,A,188
192,957,2023-09-04,A,102
193,958,2025-02-04,A,296
194,960,2021-08-05,A,354
195,964,2024-09-25,A,353
196,969,2026-06-30,A,78
197,972,2022-03-30,A,291
198,977,2025-10-08,A,27
199,979,2021-04-23,A,243
200,983,2023-05-06,A,276
201,996,2022-06-23,A,366
202,999,2021-04-24,A,131
203,1004,2026-12-25,A,385
204,1009,2021-12-15,A,363
205,1010,2021-03-23,A,195
206,1011,2022-02-05,A,490
207,1014,2027-03-01,A,119
208,1016,2022-02-17,A,314
209,1032,2025-01-20,A,450
210,1036,2020-06-01,A,61
211,1038,2025-07-22,A,139
212,1039,2025-04-07,A,490
213,1042,2023-10-09,A,23
214,1046,2022-02-23,A,457
215,1048,2020-04-11,A,165
216,1051,2022-12-09,A,453
217,1057,2021-09-05,A,12
218,1064,2026-09-22,A,442
219,1065,2021-01-12,A,482
220,1071,2021-11-19,A,305
221,1074,2025-06-18,A,87
222,1076,2021-09-06,A,452
223,1080,2023-05-05,A,483
224,1086,2024-06-04,A,64
225,1089,2026-04-20,A,84
226,1094,2027-02-14,A,488
227,1110,2024-03-30,A,495
228,1112,2026-04-09,A,78
229,1123,2020-08-24,A,445
230,1127,2021-02-12,A,132
