ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,1,2024-02-16,1,27,146,20,76,4,1,0
2,2,1,2024-02-12,1,7,146,20,76,5,1,0
3,2,1,2024-01-24,1,16,146,20,76,6,1,0
4,12,1,2025-02-22,1,25,83,315,39,38,1,0
5,12,1,2025-02-05,1,25,83,315,39,39,1,0
6,12,1,2025-02-02,1,16,83,315,39,40,1,0
7,12,1,2025-01-31,1,23,83,315,39,41,1,0
8,15,1,2022-05-07,1,13,213,426,104,46,1,0
9,15,1,2022-05-05,1,4,213,426,104,47,1,0
10,15,1,2022-05-21,1,21,213,426,104,48,1,0
11,15,1,2022-04-23,1,16,213,426,104,49,1,0
12,16,1,2022-12-26,1,13,52,84,18,51,1,0
13,16,1,2023-01-01,1,1,52,84,18,52,1,0
14,16,1,2022-12-25,1,22,52,84,18,53,1,0
15,18,1,2025-10-05,1,10,7,488,4,55,1,0
16,19,1,2021-08-10,1,19,108,142,53,56,1,0
17,24,1,2026-08-15,1,28,68,21,30,69,1,0
18,24,1,2026-08-23,1,9,68,21,30,70,1,0
19,24,1,2026-08-30,1,5,68,21,30,71,1,0
20,34,1,2024-05-13,1,18,192,321,95,97,1,0
21,34,1,2024-04-25,1,8,192,321,95,98,1,0
22,34,1,2024-04-28,1,22,192,321,95,99,1,0
23,35,1,2026-05-02,1,17,224,80,114,101,1,0
24,39,1,2021-06-26,1,22,205,274,100,111,1,0
25,39,1,2021-07-12,1,18,205,274,100,112,1,0
26,41,1,2026-01-30,1,26,48,36,18,116,1,0
27,41,1,2026-02-04,1,20,48,36,18,117,1,0
28,42,1,2020-10-01,1,17,196,269,94,118,1,0
29,46,1,2021-03-09,1,13,123,119,60,128,1,0
30,46,1,2021-03-18,1,8,123,119,60,129,1,0
31,48,1,2023-08-07,1,28,68,403,29,135,1,0
32,48,1,2023-08-29,1,11,68,403,29,136,1,0
33,50,1,2026-05-24,1,19,215,278,102,140,1,0
34,50,1,2026-04-29,1,23,215,278,102,143,1,0
35,55,1,2023-02-12,1,22,33,46,19,157,1,0
36,55,1,2023-02-11,1,13,33,46,19,158,1,0
37,55,1,2023-02-10,1,2,33,46,19,159,1,0
38,55,1,2023-01-26,1,6,33,46,19,160,1,0
39,57,1,2023-06-10,1,8,14,495,6,165,1,0
40,68,1,2021-12-25,1,8,234,109,118,191,1,0
41,68,1,2022-01-09,1,14,234,109,118,192,1,0
42,69,1,2026-12-18,1,14,67,187,29,193,1,0
43,69,1,2026-12-07,1,15,67,187,29,194,1,0
44,69,1,2026-12-08,1,17,67,187,29,195,1,0
45,73,1,2026-12-08,1,25,256,101,129,205,1,0
46,73,1,2026-11-15,1,21,256,101,129,206,1,0
47,73,1,2026-11-20,1,24,256,101,129,207,1,0
48,74,1,2020-12-31,1,31,127,309,68,208,1,0
49,74,1,2020-12-31,1,9,127,309,68,209,1,0
50,78,1,2024-11-24,1,25,194,420,95,221,1,0
51,78,1,2024-11-02,1,15,194,420,95,222,1,0
52,82,1,2024-05-18,1,26,4,100,2,233,1,0
53,83,1,2023-01-26,1,22,178,174,86,235,1,0
54,83,1,2023-01-24,1,28,178,174,86,236,1,0
55,83,1,2023-01-25,1,29,178,174,86,237,1,0
56,83,1,2023-01-27,1,2,178,174,86,238,1,0
57,94,1,2022-04-21,1,6,224,411,114,263,1,0
58,96,1,2022-12-14,1,6,109,185,49,266,1,0
59,96,1,2022-12-15,1,3,109,185,49,267,1,0
60,96,1,2022-12-18,1,6,109,185,49,268,1,0
61,96,1,2022-12-22,1,5,109,185,49,269,1,0
62,97,1,2024-08-12,1,5,217,247,106,270,1,0
63,97,1,2024-08-19,1,16,217,247,106,271,1,0
64,97,1,2024-08-23,1,19,217,247,106,272,1,0
65,101,1,2022-09-21,1,13,173,352,80,282,1,0
66,101,1,2022-09-26,1,1,173,352,80,283,1,0
67,101,1,2022-10-04,1,2,173,352,80,284,1,0
68,102,1,2024-09-18,1,18,175,111,87,285,1,0
69,102,1,2024-09-25,1,28,175,111,87,286,1,0
70,102,1,2024-09-26,1,20,175,111,87,287,1,0
71,114,1,2020-07-18,1,30,59,159,24,320,1,0
72,114,1,2020-07-17,1,26,59,159,24,321,1,0
73,114,1,2020-08-14,1,15,59,159,24,322,1,0
74,117,1,2023-01-10,1,5,238,467,119,327,1,0
75,120,1,2021-12-31,1,21,206,359,100,332,1,0
76,120,1,2021-12-28,1,7,206,359,100,333,1,0
77,120,1,2022-01-03,1,6,206,359,100,334,1,0
78,121,1,2021-12-27,1,13,100,145,48,335,1,0
79,124,1,2021-07-15,1,4,91,45,42,341,1,0
80,126,1,2022-11-10,1,14,32,260,19,346,1,0
81,127,1,2021-11-20,1,25,169,228,81,347,1,0
82,133,1,2024-06-09,1,27,120,424,55,360,1,0
83,133,1,2024-05-31,1,12,120,424,55,361,1,0
84,134,1,2026-08-14,1,3,239,302,117,362,1,0
85,144,1,2021-12-29,1,6,250,274,127,380,1,0
86,145,1,2023-01-11,1,19,47,345,16,381,1,0
87,145,1,2022-12-28,1,8,47,345,16,382,1,0
88,145,1,2023-01-03,1,29,47,345,16,384,1,0
89,146,1,2026-11-28,1,12,123,119,57,385,1,0
90,146,1,2026-12-24,1,2,123,119,57,386,1,0
91,148,1,2023-04-26,1,22,27,260,13,389,1,0
92,150,1,2023-03-10,1,4,124,288,59,393,1,0
93,150,1,2023-03-12,1,21,124,288,59,394,1,0
94,151,1,2021-02-13,1,23,32,127,17,395,1,0
95,151,1,2021-02-15,1,3,32,127,17,396,1,0
96,156,1,2022-07-18,1,26,154,202,79,407,1,0
97,158,1,2025-10-25,1,10,153,284,79,409,1,0
98,158,1,2025-10-16,1,23,153,284,79,410,1,0
99,158,1,2025-10-24,1,14,153,284,79,411,1,0
100,159,1,2026-03-20,1,9,34,308,21,412,1,0
101,159,1,2026-03-06,1,27,34,308,21,413,1,0
102,166,1,2022-01-26,1,12,204,183,101,425,1,0
103,166,1,2022-01-31,1,22,204,183,101,426,1,0
104,178,1,2026-07-13,1,26,256,395,129,460,1,0
105,183,1,2026-12-05,1,5,24,452,14,469,1,0
106,183,1,2026-12-17,1,1,24,452,14,470,1,0
107,187,1,2023-02-21,1,8,148,292,74,476,1,0
108,206,1,2024-02-08,1,28,213,426,102,523,1,0
109,216,1,2020-04-15,1,7,175,111,87,549,1,0
110,216,1,2020-04-03,1,17,175,111,87,550,1,0
111,218,1,2021-09-19,1,25,174,372,85,556,1,0
112,218,1,2021-09-02,1,13,174,372,85,557,1,0
113,218,1,2021-09-12,1,1,174,372,85,558,1,0
114,218,1,2021-09-08,1,17,174,372,85,559,1,0
115,219,1,2021-05-25,1,17,153,284,79,560,1,0
116,220,1,2022-05-14,1,2,69,138,28,561,1,0
117,220,1,2022-05-28,1,4,69,138,28,563,1,0
118,220,1,2022-05-16,1,24,69,138,28,564,1,0
119,223,1,2021-01-31,1,17,262,196,128,570,1,0
120,223,1,2021-01-11,1,1,262,196,128,571,1,0
121,226,1,2026-02-10,1,23,148,423,73,579,1,0
122,226,1,2026-02-25,1,16,148,423,73,580,1,0
123,233,1,2021-02-19,1,25,203,499,101,593,1,0
124,233,1,2021-02-23,1,18,203,499,101,594,1,0
125,233,1,2021-02-13,1,15,203,499,101,595,1,0
126,233,1,2021-03-02,1,23,203,499,101,596,1,0
127,234,1,2026-06-20,1,22,75,151,38,597,1,0
